Restaurant ID,Restaurant Name,Country Code,City,Address,location,Locality Verbose,Longitude,Latitude,cuisine_type,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,rating,Rating color,Rating text,Votes
17284404,Austin's BBQ and Oyster Bar,216,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.221535,31.610387,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,No,2,3.3,Orange,Average,35
17284203,BJ's Country Buffet,216,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.207095,31.608743,"American, BBQ",10,Dollar($),No,No,No,No,1,3.3,Orange,Average,25
17284105,Cookie Shoppe,216,Albany,"115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.154,31.5772,,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,34
17284302,El Vaquero Mexican Restaurant,216,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,Mexican,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,45
17284397,Elements Coffee Co - Northwest,216,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany",-84.206944,31.622412,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,26
17284211,Pearly's Famous Country Cookng,216,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany",-84.1759,31.5882,,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,36
17284094,Chick-fil-A,216,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2193,31.616,Fast Food,10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,67
17284409,Guang Zhou Chinese Restaurant,216,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2091458,31.6155186,"Asian, Chinese, Vegetarian",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,141
17284139,Harvest Moon,216,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,"Albany, Albany",-84.205718,31.604905,"Pizza, Bar Food, Sandwich",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,147
17284403,Henry Campbell's Steakhouse,216,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.223278,31.612121,"Steak, Tapas, Bar Food",70,Dollar($),No,No,No,No,4,3.5,Yellow,Good,51
17284145,Hong Kong Cafe,216,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2191,31.6156,"Chinese, Seafood, Vegetarian",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,88
17284150,House of China Restaurant II,216,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,"Albany, Albany",-84.212,31.6104,Chinese,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,153
17284158,Jimmie's Hot Dogs,216,Albany,"204 S Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.1534,31.5751,,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,160
17284175,Locos Grill & Pub,216,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2228,31.6077,"American, Burger, Sandwich",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,57
17284179,Longhorn Steakhouse,216,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2229,31.6185,"American, Steak",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,58
17284197,Mikata Japanese Steakhouse,216,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2164,31.6137,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,115
17284241,Shogun Japanese Steak House,216,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany",-84.2233,31.6118,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.5,Yellow,Good,51
17335173,Olive Tree Cafe,216,Davenport,"2513 53rd Avenue, Bettendorf, IA 52722",Bettendorf,"Bettendorf, Davenport",-90.496986,41.574935,"Indian, Mediterranean, Middle Eastern",25,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,166
17335195,"Red Ginger Sushi, Grill & Bar",216,Davenport,"793 Middle Rd, Bettendorf, IA 52722",Bettendorf,"Bettendorf, Davenport",-90.522479,41.53845,"Sushi, Teriyaki",40,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,208
17335225,Crust Stone Oven Pizza,216,Davenport,"2561 E 53rd Ave, Bettendorf, IA 52722",Bettendorf,"Bettendorf, Davenport",-90.4912446,41.5747801,"Burger, Pizza",25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,136
17335219,Jimmy's Pancake House,216,Davenport,"2521 - 18th St., Bettendorf, IA 52722",Bettendorf,"Bettendorf, Davenport",-90.504176,41.548746,"American, Breakfast, Greek",10,Dollar($),No,No,No,No,1,4,Green,Very Good,85
17334965,Trattoria Tiramisu,216,Davenport,"1804 State St, Bettendorf, IA 52722",Bettendorf,"Bettendorf, Davenport",-90.50709,41.525384,Italian,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,117
17335189,Prairie Grille at SteepleGate Inn,216,Davenport,"100 W 76th St, Davenport, IA 52806",Davenport,"Davenport, Davenport",-90.574088,41.593892,"American, Breakfast",25,Dollar($),No,No,No,No,2,3.4,Orange,Average,53
17335156,Tantra Asian Bistro,216,Davenport,"589 East 53rd St, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.565837,41.574459,Asian,25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,474
17334717,Chick-fil-A,216,Davenport,"320 W Kimberly Rd, Davenport, IA 52806",Davenport,"Davenport, Davenport",-90.5716,41.5604,Fast Food,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,125
17334752,Duck City Bistro,216,Davenport,"115 E 3rd St, Davenport, IA 52801",Davenport,"Davenport, Davenport",-90.5737,41.5223,"American, French",70,Dollar($),No,No,No,No,4,3.7,Yellow,Good,201
18453427,Frick's Tap,216,Davenport,"1402 W 3rd Street, IA 52802",Davenport,"Davenport, Davenport",-90.59466452,41.52253634,"American, Bar Food, BBQ",25,Dollar($),No,No,No,No,2,0,White,Not rated,2
17793744,Los Agaves,216,Davenport,"4882 Utica Ridge Rd, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.5154313,41.5709434,Mexican,25,Dollar($),No,No,No,No,2,0,White,Not rated,3
17334679,Azteca,216,Davenport,"4811 N Brady St Ste 3, Davenport, IA 52806",Davenport,"Davenport, Davenport",-90.5683,41.5699,Mexican,0,Dollar($),No,No,No,No,1,4.3,Green,Very Good,167
17334718,China Cafe,216,Davenport,"3018 E 53rd St, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.5321,41.5749,Chinese,25,Dollar($),No,No,No,No,2,4,Green,Very Good,112
17334763,Exotic Thai Restaurant,216,Davenport,"2303 E 53rd St, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.5432,41.5747,Thai,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,256
17335158,Front Street Brewery,216,Davenport,"208 E River Dr, Davenport, IA 52801",Davenport,"Davenport, Davenport",-90.572418,41.520389,American,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,123
17334782,Granite City Food & Brewery,216,Davenport,"5270 Utica Ridge Rd, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.5137,41.5745,American,25,Dollar($),No,No,No,No,2,4,Green,Very Good,199
17334846,Los Agaves,216,Davenport,"3852 N Brady St, Davenport, IA 52806",Davenport,"Davenport, Davenport",-90.5686,41.559,Mexican,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,157
17334853,Machine Shed Restaurant,216,Davenport,"7250 Northwest Blvd, Davenport, IA 52806",Davenport,"Davenport, Davenport",-90.6136,41.5944,American,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,100
17335168,Osaka,216,Davenport,"4901 Utica Ridge Rd, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.515175,41.570997,"Japanese, Sushi",40,Dollar($),No,No,No,No,3,4.2,Green,Very Good,141
17334958,Texas Roadhouse,216,Davenport,"4005 E 53rd Street, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.517,41.5747,"American, BBQ, Steak",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,197
17258496,Hickory Park,216,Des Moines,"1404 S Duff Ave, Ames, IA 50010",Ames,"Ames, Des Moines",-93.610084,42.010254,"BBQ, Burger, Desserts",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,1025
17259395,The Cafe,216,Des Moines,"2616 Northridge Pkwy, Ames, IA 50010",Ames,"Ames, Des Moines",-93.643094,42.048779,"American, Coffee and Tea",25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,570
17258350,Flying Mango,216,Des Moines,"4345 Hickman Rd, Des Moines, IA 50310",Beaverdale,"Beaverdale, Des Moines",-93.677638,41.614965,"BBQ, Caribbean, Cajun",40,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,674
17258136,Cool Basil,216,Des Moines,"8801 University Ave, Clive, IA 50325",Clive,"Clive, Des Moines",-93.739573,41.600564,"Asian, Sushi, Thai",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,496
17258522,HuHot Mongolian Grill,216,Des Moines,"4100 University Avenue, West Des Moines, IA 50266",Clive,"Clive, Des Moines",-93.760027,41.60028,"Asian, Chinese",25,Dollar($),No,No,No,No,2,4,Green,Very Good,411
17259958,Malo,216,Des Moines,"900 Mulberry Street, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.627896,41.583309,"Latin American, Mexican",25,Dollar($),No,No,No,No,2,3.2,Orange,Average,113
17258036,Centro,216,Des Moines,"1007 Locust St, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.6300803,41.5857431,"Italian, Pizza",40,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,1109
17259368,Fong's Pizza,216,Des Moines,"223 4th Street, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.621631,41.585465,"Chinese, Pizza",25,Dollar($),No,No,No,No,2,4.6,Dark Green,Excellent,728
17257684,A Dong Restaurant,216,Des Moines,"1511 High Street, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.637401,41.587219,"Asian, Vegetarian, Vietnamese, Bubble Tea",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,659
17258154,Court Avenue Brewing Company,216,Des Moines,"309 Court Ave, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.620726,41.58536,"American, Pizza, Bar Food",40,Dollar($),No,No,No,No,3,4.2,Green,Very Good,370
17259340,Django,216,Des Moines,"210 10th Street, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.629436,41.584027,French,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,532
